date	plant_stand	precip	temp	hail	crop_hist	area_damaged	severity	seed_tmt	germination	plant_growth	leaves	leafspots_halo	leafspots_marg	leafspot_size	leaf_shread	leaf_malf	leaf_mild	stem	lodging	stem_cankers	canker_lesion	fruiting_bodies	external_decay	mycelium	int_discolor	sclerotia	fruit_pods	fruit_spots	seed	mold_growth	seed_discolor	seed_size	shriveling	roots	Class
august	normal	gt_norm	norm	yes	same_lst_two_yrs	scattered	severe	none	lt_80	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	above_sec_nde	brown	present	firm_and_dry	absent	none	absent	norm	dna	norm	absent	absent	norm	absent	norm	diaporthe_stem_canker
october	normal	lt_norm	gt_norm	yes	same_lst_yr	whole_field	pot_severe	fungicide	p90_100	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	absent	tan	absent	absent	absent	black	present	norm	dna	norm	absent	absent	norm	absent	norm	charcoal_rot
august	normal	lt_norm	norm	no	same_lst_yr	whole_field	pot_severe	fungicide	p80_89	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	no	absent	tan	absent	absent	absent	black	present	norm	dna	norm	absent	absent	norm	absent	norm	charcoal_rot
july	normal	lt_norm	norm	yes	same_lst_yr	upper_areas	pot_severe	none	p90_100	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	absent	tan	absent	absent	absent	black	present	norm	dna	norm	absent	absent	norm	absent	norm	charcoal_rot
october	normal	lt_norm	norm	no	same_lst_sev_yrs	whole_field	pot_severe	fungicide	p90_100	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	absent	tan	absent	absent	absent	black	present	norm	dna	norm	absent	absent	norm	absent	norm	charcoal_rot
october	normal	lt_norm	gt_norm	yes	same_lst_yr	whole_field	pot_severe	fungicide	p80_89	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	absent	tan	absent	absent	absent	black	present	norm	dna	norm	absent	absent	norm	absent	norm	charcoal_rot
october	normal	lt_norm	gt_norm	no	diff_lst_year	upper_areas	pot_severe	none	p90_100	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	no	absent	tan	absent	absent	absent	black	present	norm	dna	norm	absent	absent	norm	absent	norm	charcoal_rot
august	normal	lt_norm	norm	yes	same_lst_two_yrs	upper_areas	pot_severe	none	p80_89	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	absent	tan	absent	absent	absent	black	present	norm	dna	norm	absent	absent	norm	absent	norm	charcoal_rot
july	normal	lt_norm	gt_norm	yes	same_lst_two_yrs	upper_areas	pot_severe	none	lt_80	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	absent	tan	absent	absent	absent	black	present	norm	dna	norm	absent	absent	norm	absent	norm	charcoal_rot
september	normal	lt_norm	gt_norm	no	same_lst_two_yrs	upper_areas	pot_severe	none	lt_80	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	absent	tan	absent	absent	absent	black	present	norm	dna	norm	absent	absent	norm	absent	norm	charcoal_rot
may	lt_normal	gt_norm	lt_norm	yes	same_lst_two_yrs	low_areas	severe	none	lt_80	abnorm	norm	absent	dna	dna	absent	absent	absent	abnorm	yes	below_soil	brown	absent	firm_and_dry	present	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	rhizoctonia_root_rot
may	lt_normal	gt_norm	lt_norm	yes	same_lst_yr	low_areas	severe	none	p80_89	abnorm	norm	absent	dna	dna	absent	absent	absent	abnorm	yes	below_soil	brown	absent	firm_and_dry	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	rhizoctonia_root_rot
july	normal	gt_norm	lt_norm	no	same_lst_sev_yrs	low_areas	severe	none	p80_89	abnorm	norm	absent	dna	dna	absent	absent	absent	abnorm	no	below_soil	brown	absent	firm_and_dry	present	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	rhizoctonia_root_rot
april	lt_normal	gt_norm	lt_norm	yes	diff_lst_year	low_areas	pot_severe	fungicide	lt_80	abnorm	norm	absent	dna	dna	absent	absent	absent	abnorm	yes	below_soil	brown	absent	firm_and_dry	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	rhizoctonia_root_rot
april	lt_normal	gt_norm	lt_norm	yes	same_lst_yr	low_areas	severe	fungicide	lt_80	abnorm	norm	absent	dna	dna	absent	absent	absent	abnorm	yes	below_soil	brown	absent	firm_and_dry	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	rhizoctonia_root_rot
may	lt_normal	gt_norm	lt_norm	yes	same_lst_sev_yrs	low_areas	severe	none	lt_80	abnorm	norm	absent	dna	dna	absent	absent	absent	abnorm	yes	below_soil	brown	absent	firm_and_dry	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	rhizoctonia_root_rot
may	lt_normal	gt_norm	lt_norm	yes	diff_lst_year	low_areas	pot_severe	none	p80_89	abnorm	norm	absent	dna	dna	absent	absent	absent	abnorm	yes	below_soil	brown	absent	firm_and_dry	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	rhizoctonia_root_rot
may	lt_normal	gt_norm	lt_norm	yes	same_lst_yr	low_areas	severe	none	lt_80	abnorm	norm	absent	dna	dna	absent	absent	absent	abnorm	yes	below_soil	brown	absent	firm_and_dry	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	rhizoctonia_root_rot
june	lt_normal	gt_norm	lt_norm	yes	same_lst_yr	low_areas	severe	none	lt_80	abnorm	norm	absent	dna	dna	absent	absent	absent	abnorm	yes	below_soil	brown	absent	firm_and_dry	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	rhizoctonia_root_rot
april	lt_normal	gt_norm	norm	no	same_lst_yr	low_areas	pot_severe	none	p90_100	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	below_soil	dk_brown_blk	absent	firm_and_dry	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	phytophthora_rot
may	lt_normal	gt_norm	norm	?	same_lst_sev_yrs	low_areas	?	?	?	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	?	above_soil	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
june	lt_normal	gt_norm	gt_norm	?	same_lst_two_yrs	low_areas	?	?	?	abnorm	abnorm	?	?	?	?	?	?	abnorm	?	above_sec_nde	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
may	lt_normal	gt_norm	lt_norm	yes	same_lst_two_yrs	low_areas	severe	fungicide	p80_89	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	above_soil	dk_brown_blk	absent	absent	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	phytophthora_rot
june	lt_normal	gt_norm	gt_norm	?	same_lst_two_yrs	low_areas	?	?	?	abnorm	abnorm	?	?	?	?	?	?	abnorm	?	above_soil	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
april	lt_normal	norm	norm	yes	same_lst_yr	low_areas	pot_severe	none	p90_100	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	below_soil	dk_brown_blk	absent	absent	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	phytophthora_rot
june	lt_normal	norm	norm	?	diff_lst_year	low_areas	?	?	?	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	?	above_soil	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
june	lt_normal	gt_norm	lt_norm	yes	same_lst_yr	low_areas	severe	none	p80_89	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	below_soil	dk_brown_blk	absent	absent	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	phytophthora_rot
june	lt_normal	gt_norm	norm	?	same_lst_yr	low_areas	?	?	?	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	?	above_soil	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
may	lt_normal	gt_norm	norm	?	same_lst_yr	low_areas	?	?	?	abnorm	abnorm	?	?	?	?	?	?	abnorm	?	below_soil	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
april	lt_normal	gt_norm	norm	yes	same_lst_sev_yrs	low_areas	pot_severe	none	p90_100	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	below_soil	dk_brown_blk	absent	absent	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	phytophthora_rot
april	lt_normal	norm	norm	no	same_lst_two_yrs	low_areas	severe	fungicide	p90_100	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	no	above_soil	dk_brown_blk	absent	firm_and_dry	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	phytophthora_rot
july	lt_normal	gt_norm	lt_norm	yes	same_lst_yr	low_areas	severe	fungicide	p90_100	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	above_soil	dk_brown_blk	absent	absent	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	phytophthora_rot
june	lt_normal	gt_norm	gt_norm	?	same_lst_sev_yrs	low_areas	?	?	?	abnorm	abnorm	?	?	?	?	?	?	abnorm	?	above_sec_nde	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
april	lt_normal	gt_norm	norm	yes	same_lst_two_yrs	low_areas	pot_severe	none	p80_89	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	below_soil	dk_brown_blk	absent	absent	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	phytophthora_rot
june	lt_normal	norm	gt_norm	?	same_lst_two_yrs	low_areas	?	?	?	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	?	above_soil	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
june	lt_normal	gt_norm	norm	no	same_lst_yr	low_areas	severe	none	lt_80	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	below_soil	dk_brown_blk	absent	firm_and_dry	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	phytophthora_rot
april	lt_normal	gt_norm	norm	yes	same_lst_sev_yrs	low_areas	pot_severe	none	lt_80	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	below_soil	dk_brown_blk	absent	absent	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	phytophthora_rot
may	lt_normal	gt_norm	norm	yes	diff_lst_year	low_areas	severe	fungicide	p80_89	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	above_soil	dk_brown_blk	absent	absent	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	phytophthora_rot
july	lt_normal	gt_norm	norm	?	same_lst_yr	low_areas	?	?	?	abnorm	abnorm	?	?	?	?	?	?	abnorm	?	above_sec_nde	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
june	lt_normal	gt_norm	norm	?	same_lst_yr	low_areas	?	?	?	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	?	above_sec_nde	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
july	lt_normal	gt_norm	gt_norm	?	same_lst_two_yrs	low_areas	?	?	?	abnorm	abnorm	?	?	?	?	?	?	abnorm	?	above_soil	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
july	lt_normal	norm	norm	?	same_lst_sev_yrs	low_areas	?	?	?	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	?	above_soil	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
june	lt_normal	gt_norm	gt_norm	?	same_lst_yr	low_areas	?	?	?	abnorm	abnorm	?	?	?	?	?	?	abnorm	?	above_soil	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
july	lt_normal	norm	gt_norm	?	same_lst_two_yrs	low_areas	?	?	?	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	?	above_soil	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
may	lt_normal	gt_norm	gt_norm	?	same_lst_yr	low_areas	?	?	?	abnorm	abnorm	?	?	?	?	?	?	abnorm	?	below_soil	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
june	lt_normal	gt_norm	gt_norm	?	same_lst_sev_yrs	low_areas	?	?	?	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	?	above_soil	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
july	lt_normal	norm	norm	?	diff_lst_year	low_areas	?	?	?	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	?	above_sec_nde	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
june	lt_normal	gt_norm	lt_norm	yes	same_lst_yr	low_areas	severe	none	p90_100	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	below_soil	dk_brown_blk	absent	absent	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	phytophthora_rot
july	lt_normal	norm	norm	?	same_lst_yr	low_areas	?	?	?	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	?	above_sec_nde	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
june	lt_normal	gt_norm	gt_norm	?	same_lst_yr	low_areas	?	?	?	abnorm	abnorm	?	?	?	?	?	?	abnorm	?	below_soil	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
may	lt_normal	gt_norm	lt_norm	yes	diff_lst_year	low_areas	severe	fungicide	p90_100	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	above_soil	dk_brown_blk	absent	absent	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	phytophthora_rot
july	lt_normal	gt_norm	norm	?	same_lst_two_yrs	low_areas	?	?	?	abnorm	abnorm	?	?	?	?	?	?	abnorm	?	above_soil	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
july	lt_normal	gt_norm	norm	?	same_lst_sev_yrs	low_areas	?	?	?	abnorm	abnorm	?	?	?	?	?	?	abnorm	?	above_sec_nde	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
july	lt_normal	norm	lt_norm	yes	same_lst_two_yrs	low_areas	severe	fungicide	lt_80	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	above_soil	dk_brown_blk	absent	absent	absent	none	absent	dna	dna	norm	absent	absent	norm	absent	norm	phytophthora_rot
july	lt_normal	gt_norm	gt_norm	?	same_lst_two_yrs	low_areas	?	?	?	abnorm	abnorm	?	?	?	?	?	?	abnorm	?	above_sec_nde	dk_brown_blk	?	absent	absent	none	absent	?	?	?	?	?	?	?	rotted	phytophthora_rot
august	normal	lt_norm	norm	yes	same_lst_yr	whole_field	pot_severe	fungicide	lt_80	norm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	absent	dna	absent	absent	absent	brown	absent	norm	absent	norm	absent	absent	norm	absent	norm	brown_stem_rot
august	normal	lt_norm	norm	yes	same_lst_yr	whole_field	pot_severe	fungicide	lt_80	norm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	absent	dna	absent	absent	absent	brown	absent	norm	absent	norm	absent	absent	norm	absent	norm	brown_stem_rot
september	normal	lt_norm	gt_norm	yes	same_lst_yr	whole_field	pot_severe	fungicide	lt_80	norm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	absent	dna	absent	absent	absent	brown	absent	norm	absent	norm	absent	absent	norm	absent	norm	brown_stem_rot
september	normal	lt_norm	gt_norm	yes	same_lst_two_yrs	whole_field	pot_severe	fungicide	p80_89	norm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	absent	dna	absent	absent	absent	brown	absent	norm	absent	norm	absent	absent	norm	absent	norm	brown_stem_rot
october	normal	norm	norm	no	same_lst_two_yrs	scattered	pot_severe	fungicide	p90_100	abnorm	norm	absent	dna	gt_1_8	absent	absent	absent	abnorm	no	absent	tan	absent	absent	absent	brown	absent	norm	dna	norm	absent	absent	norm	absent	norm	brown_stem_rot
september	lt_normal	lt_norm	lt_norm	yes	same_lst_sev_yrs	upper_areas	pot_severe	none	p90_100	abnorm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	no	absent	tan	absent	absent	absent	brown	absent	norm	dna	norm	absent	absent	norm	absent	norm	brown_stem_rot
september	lt_normal	lt_norm	norm	yes	same_lst_yr	whole_field	pot_severe	fungicide	p90_100	abnorm	abnorm	no_yellow_halos	w_s_marg	gt_1_8	absent	absent	absent	abnorm	no	absent	tan	absent	absent	absent	brown	absent	norm	dna	norm	absent	absent	norm	absent	norm	brown_stem_rot
august	normal	norm	lt_norm	no	same_lst_two_yrs	whole_field	pot_severe	fungicide	lt_80	abnorm	norm	absent	dna	dna	absent	absent	absent	abnorm	no	absent	tan	absent	absent	absent	brown	absent	norm	dna	norm	absent	absent	norm	absent	norm	brown_stem_rot
august	lt_normal	lt_norm	lt_norm	yes	same_lst_sev_yrs	upper_areas	pot_severe	fungicide	p80_89	abnorm	abnorm	no_yellow_halos	w_s_marg	gt_1_8	absent	absent	absent	abnorm	no	absent	tan	absent	absent	absent	brown	absent	norm	dna	norm	absent	absent	norm	absent	norm	brown_stem_rot
july	lt_normal	lt_norm	lt_norm	yes	same_lst_two_yrs	scattered	severe	none	p80_89	abnorm	abnorm	no_yellow_halos	w_s_marg	gt_1_8	absent	absent	absent	abnorm	yes	absent	tan	absent	absent	absent	brown	absent	norm	dna	norm	absent	absent	norm	absent	norm	brown_stem_rot
september	normal	lt_norm	norm	yes	same_lst_sev_yrs	upper_areas	pot_severe	none	p80_89	norm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	absent	dna	absent	absent	absent	brown	absent	norm	absent	norm	absent	absent	norm	absent	norm	brown_stem_rot
august	normal	lt_norm	norm	yes	same_lst_sev_yrs	whole_field	pot_severe	fungicide	p90_100	norm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	absent	dna	absent	absent	absent	brown	absent	norm	absent	norm	absent	absent	norm	absent	norm	brown_stem_rot
august	normal	lt_norm	norm	yes	same_lst_yr	upper_areas	pot_severe	fungicide	lt_80	norm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	absent	dna	absent	absent	absent	brown	absent	norm	absent	norm	absent	absent	norm	absent	norm	brown_stem_rot
august	normal	lt_norm	norm	yes	same_lst_yr	upper_areas	pot_severe	none	p90_100	norm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	absent	dna	absent	absent	absent	brown	absent	norm	absent	norm	absent	absent	norm	absent	norm	brown_stem_rot
july	normal	lt_norm	norm	yes	same_lst_sev_yrs	upper_areas	pot_severe	none	p90_100	norm	abnorm	absent	dna	dna	absent	absent	absent	abnorm	yes	absent	dna	absent	absent	absent	brown	absent	norm	absent	norm	absent	absent	norm	absent	norm	brown_stem_rot
september	normal	lt_norm	norm	no	same_lst_sev_yrs	whole_field	pot_severe	none	p80_89	norm	abnorm	absent	dna	dna	absent	absent	upper_surf	norm	yes	absent	dna	absent	absent	absent	none	absent	norm	absent	norm	absent	absent	norm	absent	norm	powdery_mildew
october	normal	norm	lt_norm	no	diff_lst_year	scattered	minor	fungicide	lt_80	norm	abnorm	absent	dna	dna	absent	absent	upper_surf	norm	yes	absent	dna	absent	absent	absent	none	absent	norm	absent	norm	absent	absent	norm	absent	norm	powdery_mildew
may	lt_normal	lt_norm	norm	yes	same_lst_sev_yrs	whole_field	pot_severe	other	p90_100	norm	abnorm	absent	dna	dna	absent	absent	upper_surf	norm	yes	absent	dna	absent	absent	absent	none	absent	norm	absent	norm	absent	absent	norm	absent	norm	powdery_mildew
october	lt_normal	norm	lt_norm	yes	same_lst_two_yrs	upper_areas	minor	fungicide	lt_80	norm	abnorm	absent	dna	dna	absent	absent	upper_surf	norm	yes	absent	dna	absent	absent	absent	none	absent	norm	absent	norm	absent	absent	norm	absent	norm	powdery_mildew
august	lt_normal	norm	lt_norm	yes	same_lst_two_yrs	upper_areas	minor	other	p90_100	norm	abnorm	absent	dna	dna	absent	absent	upper_surf	norm	yes	absent	dna	absent	absent	absent	none	absent	norm	absent	norm	absent	absent	norm	absent	norm	powdery_mildew
october	normal	lt_norm	norm	no	same_lst_yr	low_areas	pot_severe	none	lt_80	norm	abnorm	absent	dna	dna	absent	absent	upper_surf	norm	yes	absent	dna	absent	absent	absent	none	absent	norm	absent	norm	absent	absent	norm	absent	norm	powdery_mildew
october	lt_normal	lt_norm	norm	yes	same_lst_yr	low_areas	pot_severe	fungicide	lt_80	norm	abnorm	absent	dna	dna	absent	absent	upper_surf	norm	yes	absent	dna	absent	absent	absent	none	absent	norm	absent	norm	absent	absent	norm	absent	norm	powdery_mildew
september	lt_normal	lt_norm	norm	yes	same_lst_yr	low_areas	pot_severe	none	p80_89	norm	abnorm	absent	dna	dna	absent	absent	upper_surf	norm	yes	absent	dna	absent	absent	absent	none	absent	norm	absent	norm	absent	absent	norm	absent	norm	powdery_mildew
may	lt_normal	lt_norm	norm	yes	same_lst_yr	low_areas	pot_severe	other	p90_100	norm	abnorm	absent	dna	dna	absent	absent	upper_surf	norm	yes	absent	dna	absent	absent	absent	none	absent	norm	absent	norm	absent	absent	norm	absent	norm	powdery_mildew
october	normal	gt_norm	lt_norm	no	same_lst_two_yrs	low_areas	minor	fungicide	lt_80	norm	abnorm	no_yellow_halos	w_s_marg	gt_1_8	absent	present	lower_surf	norm	yes	absent	dna	absent	absent	absent	none	absent	norm	absent	abnorm	present	absent	norm	absent	norm	downy_mildew
june	normal	gt_norm	norm	no	same_lst_yr	low_areas	pot_severe	fungicide	lt_80	norm	abnorm	no_yellow_halos	w_s_marg	gt_1_8	absent	present	lower_surf	norm	yes	absent	dna	absent	absent	absent	none	absent	norm	absent	abnorm	present	absent	norm	absent	norm	downy_mildew
may	normal	gt_norm	norm	no	same_lst_sev_yrs	upper_areas	pot_severe	none	p80_89	norm	abnorm	yellow_halos	w_s_marg	gt_1_8	absent	absent	lower_surf	norm	yes	absent	dna	absent	absent	absent	none	absent	norm	absent	abnorm	present	absent	norm	absent	norm	downy_mildew
august	lt_normal	gt_norm	gt_norm	yes	same_lst_two_yrs	upper_areas	pot_severe	none	p80_89	norm	abnorm	yellow_halos	w_s_marg	gt_1_8	absent	present	lower_surf	norm	yes	absent	dna	absent	absent	absent	none	absent	norm	absent	abnorm	present	absent	norm	absent	norm	downy_mildew
may	normal	gt_norm	lt_norm	no	diff_lst_year	scattered	pot_severe	none	p80_89	norm	abnorm	yellow_halos	w_s_marg	gt_1_8	absent	absent	lower_surf	norm	yes	absent	dna	absent	absent	absent	none	absent	norm	absent	abnorm	present	absent	norm	absent	norm	downy_mildew
june	lt_normal	gt_norm	lt_norm	yes	same_lst_sev_yrs	scattered	pot_severe	none	p80_89	norm	abnorm	yellow_halos	w_s_marg	gt_1_8	absent	absent	lower_surf	norm	yes	absent	dna	absent	absent	absent	none	absent	norm	absent	abnorm	present	absent	norm	absent	norm	downy_mildew
june	lt_normal	gt_norm	norm	yes	same_lst_two_yrs	scattered	pot_severe	none	p80_89	norm	abnorm	no_yellow_halos	w_s_marg	gt_1_8	absent	absent	lower_surf	norm	yes	absent	dna	absent	absent	absent	none	absent	norm	absent	abnorm	present	absent	norm	absent	norm	downy_mildew
august	lt_normal	gt_norm	lt_norm	yes	same_lst_yr	upper_areas	pot_severe	none	p80_89	norm	abnorm	no_yellow_halos	w_s_marg	gt_1_8	absent	absent	lower_surf	norm	yes	absent	dna	absent	absent	absent	none	absent	norm	absent	abnorm	present	absent	norm	absent	norm	downy_mildew
september	lt_normal	gt_norm	norm	yes	same_lst_sev_yrs	upper_areas	pot_severe	none	p80_89	norm	abnorm	yellow_halos	w_s_marg	gt_1_8	absent	absent	lower_surf	norm	yes	absent	dna	absent	absent	absent	none	absent	norm	absent	abnorm	present	absent	norm	absent	norm	downy_mildew
may	lt_normal	gt_norm	gt_norm	no	same_lst_sev_yrs	whole_field	pot_severe	none	lt_80	abnorm	abnorm	no_yellow_halos	w_s_marg	gt_1_8	absent	absent	absent	norm	yes	absent	dna	absent	absent	absent	none	absent	norm	absent	norm	absent	absent	norm	absent	norm	brown_spot
