animal	hair	feathers	eggs	milk	airborne	aquatic	predator	toothed	backbone	breathes	venomous	fins	legs	tail	domestic	catsize	type
flea	false	false	true	false	false	false	false	false	false	true	false	false	6	false	false	false	insect
frog	false	false	true	false	false	true	true	true	true	true	false	false	4	false	false	false	amphibian
frog	false	false	true	false	false	true	true	true	true	true	true	false	4	false	false	false	amphibian
fruitbat	true	false	false	true	true	false	false	true	true	true	false	false	2	true	false	false	mammal
giraffe	true	false	false	true	false	false	false	true	true	true	false	false	4	true	false	true	mammal
gnat	false	false	true	false	true	false	false	false	false	true	false	false	6	false	false	false	insect
goat	true	false	false	true	false	false	false	true	true	true	false	false	4	true	true	true	mammal
gorilla	true	false	false	true	false	false	false	true	true	true	false	false	2	false	false	true	mammal
gull	false	true	true	false	true	true	true	false	true	true	false	false	2	true	false	false	bird
haddock	false	false	true	false	false	true	false	true	true	false	false	true	0	true	false	false	fish
hamster	true	false	false	true	false	false	false	true	true	true	false	false	4	true	true	false	mammal
hare	true	false	false	true	false	false	false	true	true	true	false	false	4	true	false	false	mammal
hawk	false	true	true	false	true	false	true	false	true	true	false	false	2	true	false	false	bird
herring	false	false	true	false	false	true	true	true	true	false	false	true	0	true	false	false	fish
honeybee	true	false	true	false	true	false	false	false	false	true	true	false	6	false	true	false	insect
housefly	true	false	true	false	true	false	false	false	false	true	false	false	6	false	false	false	insect
kiwi	false	true	true	false	false	false	true	false	true	true	false	false	2	true	false	false	bird
ladybird	false	false	true	false	true	false	true	false	false	true	false	false	6	false	false	false	insect
leopard	true	false	false	true	false	false	true	true	true	true	false	false	4	true	false	true	mammal
lion	true	false	false	true	false	false	true	true	true	true	false	false	4	true	false	true	mammal
lobster	false	false	true	false	false	true	true	false	false	false	false	false	6	false	false	false	invertebrate
lynx	true	false	false	true	false	false	true	true	true	true	false	false	4	true	false	true	mammal
mink	true	false	false	true	false	true	true	true	true	true	false	false	4	true	false	true	mammal
mole	true	false	false	true	false	false	true	true	true	true	false	false	4	true	false	false	mammal
mongoose	true	false	false	true	false	false	true	true	true	true	false	false	4	true	false	true	mammal
moth	true	false	true	false	true	false	false	false	false	true	false	false	6	false	false	false	insect
newt	false	false	true	false	false	true	true	true	true	true	false	false	4	true	false	false	amphibian
octopus	false	false	true	false	false	true	true	false	false	false	false	false	8	false	false	true	invertebrate
opossum	true	false	false	true	false	false	true	true	true	true	false	false	4	true	false	false	mammal
oryx	true	false	false	true	false	false	false	true	true	true	false	false	4	true	false	true	mammal
ostrich	false	true	true	false	false	false	false	false	true	true	false	false	2	true	false	true	bird
parakeet	false	true	true	false	true	false	false	false	true	true	false	false	2	true	true	false	bird
pheasant	false	true	true	false	true	false	false	false	true	true	false	false	2	true	false	false	bird
pike	false	false	true	false	false	true	true	true	true	false	false	true	0	true	false	true	fish
piranha	false	false	true	false	false	true	true	true	true	false	false	true	0	true	false	false	fish
pitviper	false	false	true	false	false	false	true	true	true	true	true	false	0	true	false	false	reptile
platypus	true	false	true	true	false	true	true	false	true	true	false	false	4	true	false	true	mammal
polecat	true	false	false	true	false	false	true	true	true	true	false	false	4	true	false	true	mammal
pony	true	false	false	true	false	false	false	true	true	true	false	false	4	true	true	true	mammal
porpoise	false	false	false	true	false	true	true	true	true	true	false	true	0	true	false	true	mammal
puma	true	false	false	true	false	false	true	true	true	true	false	false	4	true	false	true	mammal
pussycat	true	false	false	true	false	false	true	true	true	true	false	false	4	true	true	true	mammal
raccoon	true	false	false	true	false	false	true	true	true	true	false	false	4	true	false	true	mammal
reindeer	true	false	false	true	false	false	false	true	true	true	false	false	4	true	true	true	mammal
rhea	false	true	true	false	false	false	true	false	true	true	false	false	2	true	false	true	bird
scorpion	false	false	false	false	false	false	true	false	false	true	true	false	8	true	false	false	invertebrate
seahorse	false	false	true	false	false	true	false	true	true	false	false	true	0	true	false	false	fish
seal	true	false	false	true	false	true	true	true	true	true	false	true	0	false	false	true	mammal
sealion	true	false	false	true	false	true	true	true	true	true	false	true	2	true	false	true	mammal
seasnake	false	false	false	false	false	true	true	true	true	false	true	false	0	true	false	false	reptile
skimmer	false	true	true	false	true	true	true	false	true	true	false	false	2	true	false	false	bird
skua	false	true	true	false	true	true	true	false	true	true	false	false	2	true	false	false	bird
slowworm	false	false	true	false	false	false	true	true	true	true	false	false	0	true	false	false	reptile
slug	false	false	true	false	false	false	false	false	false	true	false	false	0	false	false	false	invertebrate
sole	false	false	true	false	false	true	false	true	true	false	false	true	0	true	false	false	fish
sparrow	false	true	true	false	true	false	false	false	true	true	false	false	2	true	false	false	bird
squirrel	true	false	false	true	false	false	false	true	true	true	false	false	2	true	false	false	mammal
starfish	false	false	true	false	false	true	true	false	false	false	false	false	5	false	false	false	invertebrate
stingray	false	false	true	false	false	true	true	true	true	false	true	true	0	true	false	true	fish
swan	false	true	true	false	true	true	false	false	true	true	false	false	2	true	false	true	bird
toad	false	false	true	false	false	true	false	true	true	true	false	false	4	false	false	false	amphibian
tortoise	false	false	true	false	false	false	false	false	true	true	false	false	4	true	false	true	reptile
vampire	true	false	false	true	true	false	false	true	true	true	false	false	2	true	false	false	mammal
vole	true	false	false	true	false	false	false	true	true	true	false	false	4	true	false	false	mammal
vulture	false	true	true	false	true	false	true	false	true	true	false	false	2	true	false	true	bird
wallaby	true	false	false	true	false	false	false	true	true	true	false	false	2	true	false	true	mammal
wasp	true	false	true	false	true	false	false	false	false	true	true	false	6	false	false	false	insect
worm	false	false	true	false	false	false	false	false	false	true	false	false	0	false	false	false	invertebrate
wren	false	true	true	false	true	false	false	false	true	true	false	false	2	true	false	false	bird
